,Heinze,Moureau,Pettersson
JC.P,0.0,0.004,0.0
GTR.P,0.0,0.0,0.0
GTRG.P,0.0,0.0,0.0
JC.TL,4.338,17.265,18.694000000000006
GTR.TL,4.495,15.898,17.07
GTRG.TL,9.864,30.825,33.296
Pass_seq_nt,0.9298245614035088,0.2323232323232323,0.1097560975609756
