,JTT_P,JTT+G_P,LG_P,LG+G_P,LT_P,Hetero_P,JTT_topo_dist,JTT+G_topo_dist,LG_topo_dist,LG+G_topo_dist,LT_topo_dist,Hetero_topo_dist,JTT_TL,JTT+G_TL,LG_TL,LG+G_TL,LT_TL,Hetero_TL
JTT,0.59,1.0,0.65,1.0,0.83,0.85,0.02,0.06,0.0,0.02,84.8,0.0,0.0016408017529114804,-0.01074318019682352,-0.004165565108921854,-0.012851551576539832,62.05084419337277,0.06359525637882868
JTT+G,0.595,0.635,0.67,0.63,0.64,0.82,0.02,0.02,0.04,0.06,83.6,0.0,0.0015760187066291564,-0.006380523324001519,-0.005452180588455868,0.0006684068471985993,56.61199040428147,0.08562592501228927
LG,0.92,1.0,0.6,1.0,1.0,1.0,0.0,0.12,0.02,0.12,86.2,0.0,0.01199314104595317,-0.0031050327691790613,0.001996368611187682,-0.007581940745546523,97.33236288218941,0.898720558594043
LG+G,0.9,0.8,0.595,0.615,1.0,1.0,0.02,0.02,0.02,0.02,82.8,0.0,0.011597138199653467,0.030566160054938396,-0.00238463015557977,0.001782832397094869,108.88218345020971,1.0197194031922407
