,JC_P,GTR_P,GTR+G_P,LT_P,Hetero_P,JC_topo_dist,GTR_topo_dist,GTR+G_topo_dist,LT_topo_dist,Hetero_topo_dist,JC_TL,GTR_TL,GTR+G_TL,LT_TL,Hetero_TL
JC,0.62,0.99,1.0,0.66,0.94,0.04,0.04,0.16,12.3,6.66,0.0009452082392308592,0.006615203941736616,-0.01955195337992852,-0.7948818749596376,0.09425829591867686
GTR,0.71,0.635,1.0,0.7,1.0,0.3,0.06,0.18,4.8,10.1,0.003987830063769323,0.0032235830991169793,-0.01080424038218357,-0.721521015054553,0.2327949470309742
GTR+G,0.575,0.59,0.65,0.5700000000000001,1.0,0.02,0.04,0.1,1.3,8.0,0.0032816715983278308,-0.0015934778456994157,-0.008304002258249885,-0.20116994632500645,0.266314243324878
