,Heinze,Moureau,Pettersson
JC.P,0,0.004,0
GTR.P,0,0,0
GTRG.P,0,0,0
Pass_seq_nt,7.70%,73.00%,89.00%
JC.TL,4.338,17.265,18.694
GTR.TL,4.495,15.898,17.07
GTRG.TL,9.864,30.825,33.296
