 file model logLik I k shape Q1 Q2 Q3 Q4 Q5 Q6 bf1 bf2 bf3 bf4 meanKaks varKaks minTime maxTime 
sc1.ENV.fasta GTR+G+I -31714.8016920094 0.000891518363949943 4 0.848583269770826 2.16936534478342 4.348369196287 1.016832784436 1.0868476160542 5.12625351042442 1 0.368096277233766 0.183485087933589 0.21589949784217 0.232519136990476 1.0769722 0.2868987 1959 2009
sc1.POL.fasta GTR+G+I -10449.1488321078 0.329911147734736 4 0.736509448339977 1.83508583624538 9.775588662727 1.41850963203537 1.33763953995106 15.9617950763301 1 0.422851189680709 0.179293328537949 0.200432346859873 0.197423134921469 1.2111814 0.9025655 1960.08 2006.87
sc2.ENV.fasta GTR+G+I -53701.0532931052 0.261324686635741 4 0.942913448832379 1.64713160035236 3.95620906034932 0.630114151764426 0.766174416749066 4.42999440426813 1 0.381290454612836 0.176739488183953 0.213772611689177 0.228197445514035 3.200343 457268.13462 1983 2009
sc2.POL.fasta GTR+G+I -36038.9306056241 0.397483810980965 4 0.929342690576101 1.81075058377767 8.37165955074698 0.814826113903033 0.806506023235593 11.697922585945 1 0.412501034669965 0.161499620531506 0.207236135227037 0.218763209571492 5.558944 2294.240535 1983 2008
sc3.A.ENV.fasta GTR+G+I -16197.8375172355 0.267873725931883 4 0.683091328362964 1.81916879622464 3.96921651005863 0.621309796516792 0.712058599352027 4.15573970915802 1 0.355952360708483 0.176408255023402 0.226730443409484 0.240908940858631 0.5955997 1.5752376 1991 2008
sc3.A.POL.fasta GTR+G+I -21652.8570152651 0.44294972122927 4 0.901216597398783 1.32058744189562 4.63022772929094 0.533857229033734 0.487647723546672 6.62021612233573 1 0.379530041948439 0.172256995360273 0.23347967511357 0.214733287577718 0.2520688 0.3465740 1992 2005
sc3.B.ENV.fasta GTR+G+I -24602.3357549912 0.248106883830209 4 0.554570662514744 2.37645048117314 4.93394575193754 0.94135831024583 1.16278741508528 4.9409908591296 1 0.366032767449743 0.164319008478005 0.23121881717634 0.238429406895912 1.676716 276.940253 1983 2004
sc3.B.POL.fasta GTR+G+I -18446.080518412 0.500806375523631 4 0.894582124844976 2.48558764894954 10.434185367398 0.953436879283263 0.770328172069992 12.3857223393185 1 0.391117718115959 0.168791850344445 0.225117064920677 0.214973366618919 1.177571 138.745982 1983 2009
sc4.ENV.fasta GTR+G+I -19212.7384022037 0.304280119844106 4 0.686335333422084 1.76197166431911 3.85679836697283 0.423509135410384 0.649582388188783 4.09104231942638 1 0.359066633998468 0.177984766062212 0.221118262327955 0.241830337611365 1.191275 61.024456 1991 2008
sc4.POL.fasta GTR+G+I -13827.4118747709 0.441852377741539 4 0.791620385584886 2.56120710661008 10.3665068516782 0.971738187917533 0.767246410609157 11.7809489769918 1 0.387753175706273 0.166579738245391 0.227255736119766 0.21841134992857 3.441968 493.705110 1985 2006
sc5.ENV.ind.fasta GTR+G+I -9580.44516475994 0.433184159872416 4 0.640882328353576 2.06993127829234 4.34008252055561 0.619422009412628 0.787077013447915 3.96600834126849 1 0.352971222321715 0.170463602517116 0.234997041214742 0.241568133946427 0.4716282 0.8520208 1999.25 2000.92
sc5.ENV.sa.fasta GTR+G+I -27580.2417737254 0.495216788313771 4 0.804988078004208 1.77333053526589 4.20790837700985 0.773131587917905 0.558027981505099 5.07521177114505 1 0.361849522540462 0.177132979224302 0.239335414048271 0.221682084186964 0.4110434 0.5030220 1992 2007
sc5.POL.sa.fasta GTR+G+I -7536.53281504312 0.508187660714334 4 0.916284781024222 3.2703938709748 10.6715110315885 0.946741343592425 0.789886196094274 15.7888571158139 1 0.391030944217035 0.168067567616494 0.227302850405914 0.213598637760557 0.3006942 0.3190752 1992 2007
sc6.env.pat85.fasta GTR+G+I -5809.71126561239 0.79907708300537 4 0.716781750158489 2.22167691062925 4.41655507255269 0.587160406771069 0.917446572968553 4.06409542631643 1 0.350833281260678 0.172971975553756 0.235920501081388 0.240274242104178 0.2168549 0.2399540 2002.39 2005.04
sc6.gag.pat21.fasta GTR+G+I -954.221223349718 0.659412279494273 4 1.01697854058397 1.6324997035695 12.468980242441 3.26182561294345 2.10610265572391e-05 17.4286518452878 1 0.388394768071275 0.192268549600005 0.24514490043097 0.17419178189775 0.2453642 0.1542496 2004 2008.2
sc6.pol.pat53.fasta GTR+G+I -1663.2227526318 0.238027385421869 4 1.00298008019327 2.32895217510091 12.85125854873 0.537296401905669 9.85924319263243e-06 5.17291285914159 1 0.394043753885971 0.162550119641712 0.207153733584329 0.236252392887989 0 0 1999 2000
sc6.pol.pat66.fasta GTR+G+I -1801.81715444621 0.779409341592392 4 0.814821437510135 2.49449040862231 21.7351883621757 6.21783702799422e-06 3.3976178987676e-05 19.8029193035235 1 0.387540095883094 0.165299508625455 0.209527707117113 0.237632688374338 0.07500000 0.05986842 1999 2002
