[ID: 9514789682]
Gen	LnL	TL	r(A<->R)	r(A<->N)	r(A<->D)	r(A<->C)	r(A<->Q)	r(A<->E)	r(A<->G)	r(A<->H)	r(A<->I)	r(A<->L)	r(A<->K)	r(A<->M)	r(A<->F)	r(A<->P)	r(A<->S)	r(A<->T)	r(A<->W)	r(A<->Y)	r(A<->V)	r(R<->N)	r(R<->D)	r(R<->C)	r(R<->Q)	r(R<->E)	r(R<->G)	r(R<->H)	r(R<->I)	r(R<->L)	r(R<->K)	r(R<->M)	r(R<->F)	r(R<->P)	r(R<->S)	r(R<->T)	r(R<->W)	r(R<->Y)	r(R<->V)	r(N<->D)	r(N<->C)	r(N<->Q)	r(N<->E)	r(N<->G)	r(N<->H)	r(N<->I)	r(N<->L)	r(N<->K)	r(N<->M)	r(N<->F)	r(N<->P)	r(N<->S)	r(N<->T)	r(N<->W)	r(N<->Y)	r(N<->V)	r(D<->C)	r(D<->Q)	r(D<->E)	r(D<->G)	r(D<->H)	r(D<->I)	r(D<->L)	r(D<->K)	r(D<->M)	r(D<->F)	r(D<->P)	r(D<->S)	r(D<->T)	r(D<->W)	r(D<->Y)	r(D<->V)	r(C<->Q)	r(C<->E)	r(C<->G)	r(C<->H)	r(C<->I)	r(C<->L)	r(C<->K)	r(C<->M)	r(C<->F)	r(C<->P)	r(C<->S)	r(C<->T)	r(C<->W)	r(C<->Y)	r(C<->V)	r(Q<->E)	r(Q<->G)	r(Q<->H)	r(Q<->I)	r(Q<->L)	r(Q<->K)	r(Q<->M)	r(Q<->F)	r(Q<->P)	r(Q<->S)	r(Q<->T)	r(Q<->W)	r(Q<->Y)	r(Q<->V)	r(E<->G)	r(E<->H)	r(E<->I)	r(E<->L)	r(E<->K)	r(E<->M)	r(E<->F)	r(E<->P)	r(E<->S)	r(E<->T)	r(E<->W)	r(E<->Y)	r(E<->V)	r(G<->H)	r(G<->I)	r(G<->L)	r(G<->K)	r(G<->M)	r(G<->F)	r(G<->P)	r(G<->S)	r(G<->T)	r(G<->W)	r(G<->Y)	r(G<->V)	r(H<->I)	r(H<->L)	r(H<->K)	r(H<->M)	r(H<->F)	r(H<->P)	r(H<->S)	r(H<->T)	r(H<->W)	r(H<->Y)	r(H<->V)	r(I<->L)	r(I<->K)	r(I<->M)	r(I<->F)	r(I<->P)	r(I<->S)	r(I<->T)	r(I<->W)	r(I<->Y)	r(I<->V)	r(L<->K)	r(L<->M)	r(L<->F)	r(L<->P)	r(L<->S)	r(L<->T)	r(L<->W)	r(L<->Y)	r(L<->V)	r(K<->M)	r(K<->F)	r(K<->P)	r(K<->S)	r(K<->T)	r(K<->W)	r(K<->Y)	r(K<->V)	r(M<->F)	r(M<->P)	r(M<->S)	r(M<->T)	r(M<->W)	r(M<->Y)	r(M<->V)	r(F<->P)	r(F<->S)	r(F<->T)	r(F<->W)	r(F<->Y)	r(F<->V)	r(P<->S)	r(P<->T)	r(P<->W)	r(P<->Y)	r(P<->V)	r(S<->T)	r(S<->W)	r(S<->Y)	r(S<->V)	r(T<->W)	r(T<->Y)	r(T<->V)	r(W<->Y)	r(W<->V)	r(Y<->V)	pi(Ala)	pi(Arg)	pi(Asn)	pi(Asp)	pi(Cys)	pi(Gln)	pi(Glu)	pi(Gly)	pi(His)	pi(Ile)	pi(Leu)	pi(Lys)	pi(Met)	pi(Phe)	pi(Pro)	pi(Ser)	pi(Thr)	pi(Trp)	pi(Tyr)	pi(Val)
0	-2.709440e+04	5.700000e+00	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.263158e-03	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02	5.000000e-02
500	-1.580940e+04	1.950916e+00	5.592286e-03	5.219586e-03	5.432260e-03	5.428461e-03	5.314917e-03	8.742008e-03	4.583318e-03	4.645693e-03	4.899407e-03	3.941810e-03	5.117686e-03	4.847010e-03	5.194448e-03	6.875504e-03	4.681842e-03	4.819900e-03	6.599822e-03	3.265926e-03	6.002775e-03	6.816861e-03	6.479328e-03	3.527098e-03	5.414467e-03	3.370734e-03	7.082699e-03	5.192341e-03	4.570121e-03	4.310196e-03	7.687238e-03	6.556189e-03	4.164322e-03	4.672059e-03	7.589418e-03	3.682109e-03	5.363683e-03	5.619452e-03	4.714582e-03	5.784913e-03	4.779269e-03	5.282950e-03	4.024963e-03	4.551035e-03	5.362262e-03	5.267200e-03	5.613431e-03	5.340134e-03	5.247942e-03	5.511688e-03	4.332980e-03	4.658873e-03	4.289624e-03	5.523024e-03	5.455345e-03	4.953707e-03	4.601554e-03	5.303790e-03	3.508840e-03	6.478157e-03	5.765551e-03	5.176873e-03	5.174587e-03	4.515557e-03	4.649175e-03	4.645403e-03	5.096732e-03	6.570071e-03	4.682539e-03	5.713304e-03	6.501532e-03	3.682854e-03	4.130923e-03	4.537296e-03	4.369377e-03	8.434516e-03	7.041353e-03	5.438210e-03	5.184755e-03	3.958926e-03	4.318244e-03	4.334142e-03	6.244423e-03	5.757697e-03	4.552707e-03	6.312970e-03	7.541979e-03	4.548555e-03	5.925301e-03	5.619914e-03	3.717771e-03	5.959529e-03	6.548429e-03	6.042305e-03	4.928582e-03	4.677455e-03	5.807704e-03	5.949584e-03	4.964358e-03	4.578527e-03	6.140324e-03	5.167219e-03	7.017879e-03	4.538184e-03	6.674759e-03	6.588015e-03	5.131837e-03	4.805206e-03	6.071390e-03	6.345880e-03	5.315789e-03	4.286743e-03	6.261615e-03	4.839052e-03	5.518444e-03	4.868577e-03	4.086041e-03	6.840443e-03	2.654340e-03	7.179987e-03	4.824994e-03	3.738560e-03	6.039473e-03	7.350732e-03	5.184711e-03	5.153226e-03	4.650568e-03	4.637841e-03	4.578803e-03	3.228570e-03	4.668869e-03	5.853753e-03	5.426678e-03	4.707474e-03	5.281150e-03	5.724824e-03	5.545875e-03	7.309663e-03	4.821980e-03	4.158839e-03	4.219997e-03	5.298489e-03	5.830096e-03	3.974827e-03	6.768245e-03	4.921100e-03	7.658457e-03	5.944770e-03	4.777924e-03	5.035767e-03	5.528692e-03	4.301225e-03	5.778907e-03	5.607782e-03	3.580360e-03	5.163396e-03	6.416564e-03	4.901146e-03	6.000158e-03	5.877567e-03	6.053639e-03	4.310275e-03	5.076653e-03	4.649396e-03	5.863797e-03	5.436597e-03	4.382937e-03	3.972953e-03	5.123148e-03	5.955722e-03	5.026475e-03	4.412055e-03	5.419903e-03	6.842889e-03	3.190795e-03	5.600643e-03	5.688749e-03	5.166558e-03	7.869697e-03	4.353507e-03	4.878947e-03	6.851641e-03	4.703367e-03	4.455779e-03	5.901499e-03	4.229581e-03	4.956141e-03	5.034303e-03	4.173552e-03	5.071677e-03	3.463138e-03	3.591273e-03	5.533206e-02	4.878515e-02	6.087565e-02	5.007780e-02	4.622177e-02	4.998776e-02	3.364266e-02	4.958379e-02	4.657927e-02	5.846449e-02	4.404040e-02	5.625950e-02	5.190129e-02	4.692777e-02	5.500931e-02	4.513193e-02	5.185257e-02	5.712076e-02	4.503358e-02	4.717250e-02
1000	-1.487003e+04	1.796928e+00	5.923115e-03	5.984364e-03	5.345250e-03	5.070077e-03	5.835508e-03	7.902822e-03	4.165068e-03	5.509437e-03	4.210114e-03	3.307394e-03	5.966901e-03	4.629645e-03	5.230707e-03	5.787446e-03	4.898845e-03	5.137751e-03	5.883808e-03	3.170215e-03	5.325602e-03	7.709858e-03	7.883057e-03	3.761507e-03	5.838938e-03	2.794003e-03	6.328877e-03	5.557630e-03	3.723324e-03	5.139995e-03	7.625569e-03	6.005008e-03	5.154882e-03	5.606783e-03	7.609651e-03	3.246948e-03	5.493685e-03	4.629956e-03	4.191971e-03	5.827446e-03	3.487870e-03	5.886919e-03	3.862756e-03	4.103722e-03	4.837884e-03	5.481175e-03	6.102393e-03	5.107898e-03	6.099010e-03	6.050630e-03	5.432208e-03	4.314144e-03	3.747969e-03	5.312728e-03	5.231178e-03	4.963132e-03	4.154230e-03	5.119772e-03	2.726143e-03	4.294134e-03	6.171725e-03	5.296127e-03	4.568760e-03	4.597506e-03	3.291259e-03	4.063551e-03	5.664003e-03	7.024760e-03	4.511370e-03	5.584675e-03	6.934819e-03	2.672765e-03	2.714459e-03	3.984759e-03	5.110088e-03	8.207335e-03	6.550127e-03	5.290115e-03	5.608596e-03	3.182064e-03	4.759898e-03	3.398090e-03	7.852592e-03	5.483004e-03	5.403351e-03	5.987777e-03	6.747615e-03	5.963443e-03	5.370269e-03	6.254147e-03	2.294465e-03	4.608931e-03	6.581785e-03	4.770148e-03	6.202843e-03	5.404983e-03	5.996900e-03	6.121557e-03	3.573663e-03	4.585299e-03	5.811798e-03	4.258165e-03	5.938729e-03	4.073689e-03	7.324909e-03	7.985176e-03	6.719833e-03	4.723316e-03	6.083009e-03	7.302265e-03	4.817621e-03	3.696937e-03	5.559592e-03	4.998282e-03	5.654192e-03	5.691444e-03	4.614884e-03	6.508793e-03	3.434599e-03	6.521515e-03	5.053388e-03	4.196955e-03	6.439237e-03	8.009712e-03	4.559282e-03	5.166571e-03	3.804371e-03	5.631793e-03	3.831697e-03	4.409337e-03	4.550598e-03	6.879273e-03	6.582412e-03	4.896121e-03	5.160513e-03	5.396284e-03	5.492691e-03	8.084754e-03	4.594663e-03	4.392224e-03	4.373453e-03	6.159703e-03	5.865509e-03	4.067746e-03	7.205209e-03	4.721746e-03	7.443103e-03	6.000261e-03	3.664215e-03	4.824484e-03	4.953204e-03	3.753193e-03	6.012065e-03	6.267477e-03	2.420000e-03	5.947967e-03	6.400468e-03	5.388356e-03	7.858107e-03	7.119151e-03	6.169480e-03	3.379857e-03	6.181393e-03	5.153568e-03	5.397663e-03	5.202212e-03	5.454927e-03	3.719730e-03	4.202829e-03	6.248403e-03	6.227329e-03	5.004434e-03	5.646424e-03	6.914642e-03	3.485385e-03	4.979261e-03	4.615188e-03	4.999736e-03	9.270680e-03	5.226227e-03	4.505402e-03	6.400665e-03	4.847349e-03	5.294746e-03	4.956835e-03	3.093676e-03	5.327895e-03	4.371143e-03	3.956564e-03	4.995707e-03	3.229319e-03	4.126611e-03	6.715930e-02	5.662985e-02	7.426623e-02	6.964417e-02	3.571519e-02	3.144915e-02	3.578678e-02	4.539172e-02	2.221199e-02	6.814778e-02	4.088523e-02	5.050151e-02	5.881022e-02	6.075500e-02	5.549526e-02	4.217107e-02	5.342384e-02	5.395362e-02	4.260845e-02	3.499364e-02
1500	-1.416405e+04	1.805582e+00	4.965402e-03	8.107556e-03	5.610671e-03	3.200669e-03	4.642353e-03	6.561814e-03	2.111767e-03	4.242604e-03	3.916562e-03	2.804030e-03	5.268380e-03	4.801982e-03	5.090503e-03	5.962279e-03	3.181973e-03	4.556594e-03	6.434823e-03	2.049329e-03	2.833682e-03	8.338007e-03	8.457310e-03	3.357739e-03	6.865092e-03	2.546430e-03	4.998483e-03	5.654000e-03	2.198820e-03	6.756785e-03	6.125378e-03	3.998187e-03	5.239333e-03	5.356496e-03	6.435252e-03	2.515656e-03	5.139788e-03	4.351444e-03	5.037359e-03	8.390804e-03	6.401268e-03	4.151596e-03	4.385467e-03	2.730399e-03	6.298256e-03	5.868324e-03	5.732915e-03	4.520949e-03	5.966018e-03	5.151254e-03	5.780273e-03	3.202009e-03	3.832229e-03	3.548816e-03	7.044254e-03	5.123205e-03	3.394295e-03	6.427183e-03	2.291068e-03	4.787362e-03	5.918612e-03	4.121979e-03	4.478673e-03	5.094637e-03	2.208496e-03	4.362494e-03	4.629740e-03	5.788661e-03	4.748851e-03	7.747755e-03	4.786316e-03	5.831703e-03	2.042196e-03	3.569987e-03	5.200285e-03	1.052743e-02	8.100033e-03	5.522829e-03	4.314724e-03	5.064549e-03	7.707008e-03	3.673346e-03	5.824786e-03	5.177273e-03	4.951640e-03	7.416713e-03	6.569360e-03	5.554855e-03	7.154507e-03	4.386108e-03	3.110286e-03	5.628298e-03	8.432381e-03	6.075089e-03	3.457274e-03	4.973910e-03	4.661608e-03	7.142543e-03	2.176248e-03	4.408532e-03	6.971411e-03	2.194598e-03	6.576926e-03	7.822861e-03	5.935873e-03	7.316480e-03	4.987118e-03	5.961591e-03	4.451725e-03	4.940208e-03	6.532125e-03	2.942564e-03	6.578771e-03	6.366519e-03	4.937973e-03	6.073021e-03	3.793235e-03	4.807182e-03	1.124767e-03	5.974739e-03	6.177183e-03	3.954669e-03	1.037714e-02	1.060486e-02	5.370854e-03	7.455573e-03	5.483081e-03	6.323224e-03	2.618258e-03	3.839074e-03	4.748012e-03	5.691361e-03	9.848268e-03	3.708113e-03	5.461340e-03	4.279579e-03	4.555523e-03	7.814252e-03	2.777911e-03	4.049471e-03	6.684509e-03	8.428606e-03	2.602772e-03	4.255012e-03	8.009539e-03	5.011370e-03	9.512099e-03	3.971261e-03	2.916969e-03	5.206757e-03	3.317039e-03	2.407030e-03	5.754963e-03	5.866929e-03	2.903915e-03	7.011437e-03	5.559028e-03	6.944789e-03	1.173971e-02	7.581770e-03	6.127399e-03	2.930449e-03	6.535208e-03	6.173674e-03	5.029967e-03	8.159636e-03	4.889551e-03	5.272454e-03	3.536809e-03	6.398914e-03	8.392432e-03	3.593094e-03	3.209784e-03	7.513478e-03	2.744647e-03	2.412490e-03	4.051419e-03	6.742417e-03	9.362817e-03	5.727025e-03	3.731912e-03	7.153378e-03	6.385153e-03	4.939130e-03	4.289433e-03	3.927629e-03	4.541755e-03	5.048802e-03	3.406304e-03	6.101696e-03	4.315953e-03	2.958051e-03	8.831604e-02	7.016374e-02	6.827932e-02	8.954223e-02	3.955095e-02	1.922523e-02	4.875103e-02	3.993178e-02	2.201336e-02	5.252986e-02	3.669788e-02	6.020761e-02	3.926239e-02	6.321720e-02	4.047978e-02	2.993821e-02	5.825794e-02	4.200319e-02	5.201991e-02	3.961235e-02
2000	-1.393569e+04	1.882376e+00	5.463639e-03	9.361108e-03	6.073146e-03	3.057368e-03	4.179125e-03	5.558829e-03	1.843356e-03	5.280007e-03	3.733692e-03	2.448688e-03	5.345727e-03	5.605878e-03	5.065597e-03	5.839248e-03	3.632594e-03	4.471071e-03	6.017195e-03	2.648584e-03	3.187322e-03	8.613193e-03	8.938629e-03	3.086520e-03	6.154208e-03	3.297875e-03	4.812325e-03	5.452030e-03	1.643847e-03	5.718121e-03	5.824830e-03	3.657533e-03	5.010444e-03	5.236554e-03	6.398834e-03	2.338299e-03	4.730287e-03	4.194764e-03	5.697492e-03	8.885235e-03	7.198844e-03	3.909725e-03	5.721440e-03	1.767717e-03	6.196752e-03	5.789048e-03	6.210797e-03	4.443480e-03	4.679022e-03	6.136229e-03	6.366122e-03	3.105334e-03	3.895938e-03	3.783836e-03	6.855547e-03	4.524226e-03	3.290359e-03	6.042081e-03	2.228897e-03	5.265062e-03	6.347347e-03	4.299317e-03	4.076157e-03	4.651280e-03	1.708923e-03	3.813320e-03	4.841340e-03	5.893242e-03	5.153246e-03	7.676190e-03	5.074947e-03	6.367007e-03	2.067453e-03	4.086273e-03	5.282460e-03	9.398949e-03	6.850799e-03	4.659623e-03	5.364433e-03	4.582982e-03	6.567889e-03	3.984278e-03	6.373176e-03	5.892756e-03	4.318864e-03	7.047097e-03	7.403049e-03	6.197772e-03	5.676982e-03	4.393091e-03	2.914767e-03	5.111468e-03	8.797846e-03	6.308918e-03	4.017452e-03	5.512772e-03	4.899959e-03	7.602015e-03	1.643447e-03	4.060333e-03	6.645353e-03	2.441207e-03	6.158331e-03	9.116138e-03	5.716625e-03	7.232302e-03	4.823353e-03	6.850066e-03	4.468163e-03	5.402459e-03	6.129648e-03	3.181392e-03	6.719862e-03	6.110574e-03	5.976000e-03	6.290584e-03	3.261821e-03	4.735901e-03	7.172162e-04	7.200227e-03	6.098859e-03	3.431014e-03	1.047741e-02	9.781506e-03	5.717236e-03	6.520040e-03	4.985565e-03	7.206163e-03	2.525825e-03	3.966698e-03	5.042299e-03	4.815216e-03	1.090386e-02	3.530506e-03	5.522229e-03	4.775013e-03	5.084250e-03	6.448149e-03	3.612951e-03	4.497120e-03	6.497557e-03	8.072449e-03	2.734367e-03	4.603703e-03	8.491745e-03	5.630214e-03	9.565509e-03	3.230145e-03	2.805600e-03	5.270823e-03	2.913148e-03	2.532120e-03	6.469685e-03	6.097082e-03	3.502007e-03	6.545748e-03	5.698920e-03	6.571268e-03	1.206640e-02	6.087855e-03	5.810163e-03	3.294194e-03	6.123229e-03	5.492367e-03	5.673131e-03	8.802813e-03	3.905103e-03	5.441791e-03	3.722754e-03	6.474806e-03	8.225161e-03	3.006655e-03	2.790439e-03	7.149594e-03	2.926719e-03	2.670424e-03	4.024250e-03	6.736348e-03	9.039767e-03	6.164282e-03	3.871303e-03	6.161725e-03	5.650717e-03	4.757533e-03	4.843545e-03	4.167744e-03	4.529055e-03	5.287168e-03	3.424534e-03	6.089741e-03	4.725922e-03	2.678670e-03	9.096645e-02	8.060839e-02	7.065205e-02	9.065739e-02	3.548897e-02	1.411458e-02	4.568979e-02	3.893961e-02	1.862573e-02	5.649392e-02	2.794404e-02	6.279218e-02	4.040153e-02	6.321622e-02	4.588837e-02	2.637601e-02	6.515609e-02	4.227713e-02	5.489145e-02	2.882009e-02
2500	-1.376983e+04	1.824157e+00	8.321785e-03	5.388334e-03	1.113364e-02	4.475890e-03	5.693934e-03	7.346512e-03	2.671231e-03	7.142108e-03	2.668093e-03	4.063218e-03	4.152654e-03	4.901862e-03	4.603429e-03	2.918733e-03	2.933988e-03	2.824273e-03	3.318892e-03	7.671786e-03	7.682035e-03	6.559478e-03	7.409192e-03	7.052587e-03	3.722932e-03	4.588285e-03	4.112049e-03	4.443784e-03	6.621914e-03	3.930068e-03	3.946256e-03	5.726095e-03	2.845717e-03	8.039214e-03	1.977560e-03	5.156444e-03	7.428964e-03	9.789669e-03	4.528270e-03	8.517565e-03	4.984054e-03	5.772746e-03	3.662161e-03	4.634470e-03	5.249838e-03	3.579406e-03	3.281307e-03	4.997182e-03	7.476015e-03	4.045497e-03	5.580503e-03	3.847977e-03	6.452141e-03	2.504923e-03	6.718638e-03	5.744582e-03	2.092827e-03	4.480088e-03	6.273068e-03	6.632899e-03	4.528648e-03	4.768809e-03	2.807517e-03	4.320066e-03	4.491588e-03	5.119558e-03	3.267887e-03	6.489259e-03	4.572533e-03	4.681254e-03	6.433270e-03	6.056348e-03	6.881375e-03	3.497708e-03	5.682876e-03	1.959018e-03	2.942380e-03	5.574246e-03	5.284803e-03	5.002501e-03	6.872046e-03	3.122713e-03	4.099407e-03	2.861478e-03	6.886338e-03	5.460287e-03	5.048694e-03	6.353489e-03	8.144739e-03	5.440114e-03	4.060936e-03	4.909825e-03	3.828444e-03	2.750715e-03	7.315611e-03	8.245118e-03	4.484644e-03	3.518249e-03	5.106807e-03	8.965716e-03	4.740777e-03	3.956350e-03	4.602089e-03	6.814492e-03	5.056002e-03	7.179457e-03	2.275888e-03	6.178864e-03	6.310619e-03	4.036759e-03	4.901072e-03	7.550919e-03	7.793586e-03	7.095192e-03	8.764318e-03	7.648442e-03	7.479123e-03	5.282263e-03	5.588368e-03	3.718004e-03	4.990199e-03	6.565558e-03	5.710447e-03	2.758823e-03	7.589240e-03	7.168603e-03	9.203725e-03	3.074607e-03	2.434443e-03	5.400366e-03	7.141729e-03	4.691235e-03	6.353764e-03	4.364785e-03	5.597828e-03	4.450244e-03	4.506044e-03	1.615751e-03	4.723648e-03	4.042429e-03	6.160033e-03	4.270732e-03	3.141702e-03	9.276505e-03	3.991054e-03	4.440146e-03	7.324208e-03	5.892043e-03	4.094264e-03	6.187733e-03	6.462034e-03	2.691387e-03	4.594728e-03	5.292146e-03	4.179104e-03	8.253750e-03	3.942736e-04	4.672927e-03	3.176209e-03	2.947335e-03	4.726639e-03	3.627046e-03	2.794697e-03	4.081741e-03	6.171244e-03	5.081495e-03	7.173377e-03	5.433906e-03	5.541058e-03	6.862318e-03	5.403986e-03	2.303916e-03	6.960585e-03	5.712902e-03	4.350685e-03	7.355588e-03	3.930182e-03	5.843774e-03	2.874013e-03	4.989907e-03	4.749168e-03	7.562870e-03	5.985414e-03	5.448902e-03	7.664760e-03	7.598889e-03	6.287896e-03	8.482674e-03	5.106660e-03	6.706864e-03	3.352254e-03	6.880454e-03	1.438502e-01	8.458409e-02	9.740850e-02	5.791005e-02	4.272785e-02	4.659589e-02	4.382354e-02	4.542123e-02	4.327203e-02	4.184177e-02	4.159354e-02	3.957647e-02	2.288722e-02	4.216858e-02	1.511702e-02	2.799159e-02	4.639807e-02	4.227208e-02	2.530803e-02	4.925225e-02
3000	-1.353911e+04	1.727270e+00	8.980318e-03	5.620391e-03	1.279171e-02	4.281616e-03	6.168051e-03	8.721418e-03	2.190681e-03	7.525820e-03	1.923362e-03	3.864206e-03	3.399581e-03	5.614662e-03	4.767295e-03	2.902794e-03	3.276133e-03	2.368400e-03	3.046567e-03	6.661729e-03	7.490898e-03	6.846589e-03	7.348882e-03	5.898480e-03	3.839102e-03	5.577533e-03	4.631300e-03	3.886679e-03	5.809750e-03	3.969992e-03	3.472399e-03	5.395886e-03	2.966189e-03	7.971688e-03	1.643042e-03	5.342848e-03	6.868780e-03	9.012033e-03	4.076224e-03	8.397942e-03	4.885907e-03	6.648474e-03	3.128793e-03	4.657913e-03	5.111971e-03	4.729836e-03	3.224506e-03	4.978490e-03	7.235302e-03	2.597846e-03	5.271565e-03	3.706311e-03	7.364419e-03	2.343602e-03	7.099053e-03	5.445307e-03	2.172041e-03	4.187729e-03	5.400187e-03	6.301416e-03	4.844149e-03	5.094761e-03	2.877837e-03	3.858822e-03	4.001664e-03	5.242457e-03	2.743720e-03	6.002297e-03	5.484920e-03	5.211424e-03	6.408650e-03	6.701744e-03	6.526149e-03	4.013369e-03	4.360874e-03	2.143071e-03	2.931625e-03	5.966853e-03	5.742125e-03	5.413391e-03	5.959238e-03	3.103901e-03	4.611378e-03	2.264917e-03	6.288291e-03	6.176780e-03	5.287949e-03	6.022393e-03	9.010965e-03	5.240379e-03	3.952462e-03	6.053280e-03	3.311613e-03	2.455924e-03	7.688876e-03	8.313613e-03	3.523661e-03	3.773034e-03	5.818339e-03	8.746529e-03	4.566440e-03	3.988231e-03	4.571953e-03	6.345015e-03	5.860058e-03	7.394197e-03	2.404235e-03	6.593906e-03	5.398858e-03	3.168738e-03	4.760283e-03	5.679610e-03	8.487669e-03	7.444224e-03	7.399519e-03	6.895258e-03	8.247081e-03	5.140585e-03	5.698647e-03	4.198602e-03	4.592013e-03	6.035549e-03	5.422884e-03	2.495397e-03	7.301035e-03	6.401500e-03	7.904788e-03	2.767633e-03	2.910494e-03	5.421552e-03	7.362046e-03	4.751569e-03	7.053847e-03	4.842126e-03	4.684364e-03	4.379342e-03	4.081995e-03	1.244712e-03	3.541970e-03	4.589805e-03	6.112048e-03	4.238115e-03	3.087934e-03	1.039109e-02	3.682274e-03	5.252831e-03	7.135468e-03	5.505279e-03	4.713584e-03	6.251130e-03	5.873515e-03	3.090426e-03	4.519174e-03	5.473152e-03	4.375190e-03	7.990009e-03	4.288975e-04	4.722493e-03	3.112369e-03	3.045423e-03	4.457390e-03	3.941466e-03	3.247219e-03	4.638020e-03	6.700781e-03	5.397582e-03	7.668341e-03	5.156645e-03	4.951800e-03	8.051463e-03	6.414900e-03	2.389319e-03	7.010457e-03	5.418218e-03	4.367496e-03	6.920926e-03	4.470916e-03	5.792681e-03	3.115555e-03	5.356585e-03	4.925794e-03	6.870978e-03	6.267512e-03	6.724104e-03	7.388813e-03	8.240755e-03	6.615289e-03	8.895695e-03	5.543988e-03	6.784421e-03	4.357272e-03	6.674420e-03	1.657080e-01	8.870874e-02	9.325821e-02	6.756368e-02	4.529679e-02	4.740377e-02	3.657442e-02	4.981954e-02	3.324981e-02	4.892314e-02	3.098755e-02	3.287920e-02	1.760105e-02	4.331193e-02	7.709765e-03	2.177848e-02	5.056825e-02	4.040948e-02	2.948696e-02	4.876124e-02
