"state","likelihood","ucld.mean"
0,-418317.812998691,0.05
2000,-282228.228132238,0.00241099094504294
4000,-249095.726174119,0.000707337122017251
6000,-227259.541337538,0.000128326991787315
8000,-217812.79661869,0.000147539976952391
10000,-215449.09530942,0.000260698058727708
12000,-210243.284713919,0.000425732627037032
14000,-207366.399292887,0.000226451039590891
16000,-203064.138910486,0.000214930918154945
18000,-201832.692282978,0.000282485150432049
20000,-200885.259852357,0.000267537455286031
22000,-199365.923231409,0.00022920159516192
24000,-198671.564428681,0.000198598948326388
26000,-198321.21555757,0.000235719831175169
28000,-186839.477254853,0.000166075005888978
30000,-185101.358930023,0.000100288127973678
32000,-181311.399069576,8.38719637880982e-05
34000,-180970.8678516,0.000103255050484838
36000,-178088.95629528,8.43814362000642e-05
38000,-174145.383459521,4.84602898905105e-05
40000,-173587.425132319,3.57152007062175e-05
42000,-173386.056092294,3.51000211102858e-05
44000,-173364.503713505,2.55519626895767e-05
46000,-173356.272214749,2.27854469220824e-05
48000,-172816.347240701,1.50572905316839e-05
50000,-172457.964342604,2.00822556258361e-05
52000,-172084.901406102,1.4482834242992e-05
54000,-171980.989238931,1.45979152648548e-05
56000,-171938.923125497,1.5289347676703e-05
58000,-171887.377459178,1.14656565652398e-05
60000,-171879.551689575,8.47833527184677e-06
62000,-171866.493087167,1.24537040027748e-05
64000,-171864.776749007,1.51686180162944e-05
66000,-171868.092591794,1.57882283315179e-05
68000,-171860.749121936,2.48586957123387e-05
70000,-171843.564672103,2.13641414465616e-05
72000,-168130.204285175,9.92152386205243e-06
74000,-168022.337389935,2.18957968412126e-05
76000,-167800.101444625,2.3839473947503e-05
78000,-167718.512834902,3.25846899756101e-05
80000,-167694.714826966,3.27661641415848e-05
82000,-167667.146746221,2.97628832343569e-05
84000,-167613.927047659,3.17295888335037e-05
86000,-167609.398551792,2.84247813996393e-05
88000,-167589.415107085,2.6992015442703e-05
90000,-167526.44107839,2.14484124160737e-05
92000,-167465.843686733,2.62207907674893e-05
94000,-167439.19833704,2.25848367927019e-05
96000,-167425.474987998,2.80338881454543e-05
98000,-167394.219969334,3.03125548048775e-05
1e+05,-167381.543475287,3.13193156615367e-05
102000,-167363.590432687,2.74638342410718e-05
104000,-167363.15023885,3.09188385717428e-05
106000,-167351.643220865,2.7454303839819e-05
108000,-167346.911184403,2.36982126493427e-05
110000,-167350.234074337,2.3653793519934e-05
112000,-167350.497680295,2.75690186747513e-05
114000,-167349.925768838,2.74443447739991e-05
116000,-167345.599171088,3.25330450342238e-05
118000,-167332.451083712,3.05891470797562e-05
120000,-167324.961398195,2.95973038596464e-05
122000,-167332.338422536,2.95596438968791e-05
124000,-167329.401351253,3.29686072971557e-05
126000,-167333.554313261,3.32460478586843e-05
128000,-167331.384636802,3.38965602129965e-05
130000,-167325.78839503,3.09006745035037e-05
132000,-167325.17517148,3.01646119103366e-05
134000,-167331.469040028,2.58998594360877e-05
136000,-167336.662324341,3.37102618358769e-05
138000,-167336.361497708,2.92573636230447e-05
140000,-167339.289935242,2.5321384885087e-05
142000,-167331.497816001,2.63415817189163e-05
144000,-167333.574331672,3.16579667721321e-05
146000,-167343.310436934,2.80632549611363e-05
148000,-167332.952598989,2.73942517678067e-05
150000,-167341.819660125,2.72650187968174e-05
152000,-167344.048455353,3.38516313572711e-05
154000,-167323.217338671,2.76354373845336e-05
156000,-167319.155074967,2.49754920121558e-05
158000,-167325.898667214,2.33222255422096e-05
160000,-166944.681528799,2.42305132526952e-05
162000,-166888.538071754,2.75531938713879e-05
164000,-166832.627112588,1.82219244408637e-05
166000,-166848.670683781,1.99106685154905e-05
168000,-166828.344178041,2.63831757595869e-05
170000,-166817.997345188,2.56512516327015e-05
172000,-166822.939737503,2.22566789773295e-05
174000,-166823.681776336,2.14761156049218e-05
176000,-166815.260370863,2.30952990282135e-05
178000,-166817.640682349,2.48569907891851e-05
180000,-166819.358677837,2.58964900657349e-05
182000,-166803.52251093,2.33514053952194e-05
184000,-166806.550763074,2.34711121756996e-05
186000,-166804.440901435,2.62588090345703e-05
188000,-166809.828375263,2.79294975779133e-05
190000,-166803.86938668,2.32206341685778e-05
192000,-166809.029415113,2.7296912209422e-05
194000,-166806.835180444,2.78726726117745e-05
196000,-166814.490899747,2.53719730250298e-05
198000,-166805.017284523,2.375806526184e-05
2e+05,-166821.204007099,2.84946441289411e-05
202000,-166813.305533581,2.56238205882337e-05
204000,-166799.385306022,2.65629863454907e-05
206000,-166798.397533946,2.45124439796299e-05
208000,-166778.3260082,2.3232051032598e-05
210000,-166735.295338602,2.44477136853692e-05
212000,-166720.944894172,2.80431451164629e-05
214000,-166713.570877297,2.62819010158982e-05
216000,-166720.891947513,2.71624448168513e-05
218000,-166705.150444769,2.09588861980693e-05
220000,-166714.77023393,2.8626500431683e-05
222000,-166712.805081233,2.66341931246348e-05
224000,-166704.750889968,2.97224281634009e-05
226000,-166703.94165292,2.85023443423332e-05
228000,-166708.045529539,2.85871885017829e-05
230000,-166706.462136631,2.74222138729703e-05
232000,-166706.980262913,2.80761543963368e-05
234000,-166713.979268534,2.99358813616561e-05
236000,-166711.261471074,2.83758019797952e-05
238000,-166702.1357307,2.64452051483008e-05
240000,-166709.978600904,2.53684689315427e-05
242000,-166710.372874814,2.33216854171691e-05
244000,-166701.373996347,2.40189476754373e-05
246000,-166703.143980784,2.3387152670332e-05
248000,-166698.201104479,2.70674809880782e-05
250000,-166692.395803899,2.3439863983766e-05
252000,-166696.958797913,2.52256423938694e-05
254000,-166695.310865177,2.64237347185669e-05
256000,-166701.658426885,2.59538939499684e-05
258000,-166688.712073652,2.40471526809938e-05
260000,-166689.694522899,2.30386256702115e-05
262000,-166695.143677772,2.40104476495804e-05
264000,-166702.703306677,2.59085311580927e-05
266000,-166701.560849971,2.41918182872991e-05
268000,-166696.523177655,2.28775018332414e-05
270000,-166701.246258222,2.34111361530931e-05
272000,-166695.14908078,2.18716039677718e-05
274000,-166698.786746402,2.04711714101611e-05
276000,-166698.310496673,2.4828460712217e-05
278000,-166702.501849158,2.51121778427887e-05
280000,-166692.21600651,2.29705703273781e-05
282000,-166703.99698252,2.9997701741767e-05
284000,-166696.608006482,2.74952263116737e-05
286000,-166699.978376591,2.83556550311695e-05
288000,-166700.23207639,3.1119658929094e-05
290000,-166698.364305915,3.0439297689316e-05
292000,-166705.778499602,2.24340569009079e-05
294000,-166698.552386402,2.61087941650443e-05
296000,-166682.588447849,2.5873121457714e-05
298000,-166653.367408173,2.68011963044792e-05
3e+05,-166646.299320006,2.77081496935686e-05
302000,-166635.346056518,2.74149518572743e-05
304000,-166640.786729809,2.67495521718663e-05
306000,-166634.049971591,2.47293239287913e-05
308000,-166636.417478838,2.69221941206002e-05
310000,-166644.317392086,2.45362017909073e-05
312000,-166641.461040966,2.49615654493114e-05
314000,-166640.613583888,2.40832713726376e-05
316000,-166634.449600083,2.37789609399011e-05
318000,-166633.96813186,2.49295666041144e-05
320000,-166631.056323743,2.42082096965424e-05
322000,-166627.60515916,2.59463761285872e-05
324000,-166631.575983023,2.52171649203047e-05
326000,-166625.853158305,2.25341136788773e-05
328000,-166633.973292267,2.10295137188086e-05
330000,-166629.943286198,2.46015572460983e-05
332000,-166631.695003764,2.45827874769097e-05
334000,-166637.197963647,2.40974676744189e-05
336000,-166638.73351336,2.22897485047851e-05
338000,-166634.471267945,2.40994778974743e-05
340000,-166635.58230212,2.80839705277992e-05
342000,-166622.700545801,2.73525223869512e-05
344000,-166631.623838814,1.79074815987001e-05
346000,-166635.590548173,1.9950035944866e-05
348000,-166642.276424013,2.23868652520395e-05
350000,-166628.847283046,1.82796945864136e-05
352000,-166629.722970444,1.97258176278873e-05
354000,-166631.302595109,2.03411102085762e-05
356000,-166619.7396576,2.10950497854489e-05
358000,-166621.803205699,2.31294981565313e-05
360000,-166625.313286643,2.12107067418676e-05
362000,-166616.434404255,2.1313607664804e-05
364000,-166623.770682879,2.24095075140113e-05
366000,-166626.502074683,2.4253035521502e-05
368000,-166625.429356764,2.3925204760804e-05
370000,-166625.214152761,2.19475317403726e-05
372000,-166627.956664593,2.21407519378751e-05
374000,-166625.501269277,2.24629240990217e-05
376000,-166633.438407936,1.81810391028722e-05
378000,-166623.33729213,2.30095891790508e-05
380000,-166626.66792132,2.45091068009121e-05
382000,-166627.965580969,2.17390889595859e-05
384000,-166622.876517617,2.37430352648805e-05
386000,-166624.046220807,2.40697858958154e-05
388000,-166622.110596019,2.14709564514829e-05
390000,-166611.902290272,1.94394134270689e-05
392000,-166616.169614557,2.42354327127381e-05
394000,-166617.462232731,1.99257997819345e-05
396000,-166619.466371997,2.23928566239636e-05
398000,-166609.176214549,2.1891252931863e-05
4e+05,-166619.714555223,2.42855692498426e-05
402000,-166634.663195826,2.13803453611163e-05
404000,-166633.08573987,2.17219196696534e-05
406000,-166630.823936271,1.92522986751223e-05
408000,-166628.463412354,2.16243333148354e-05
410000,-166630.590998336,1.6757891753566e-05
412000,-166629.521241695,2.16452122401654e-05
414000,-166621.530783027,1.85830437885683e-05
416000,-166620.27006424,2.30225262065157e-05
418000,-166606.257461795,2.65452943707782e-05
420000,-166608.835911138,2.6323628371822e-05
422000,-166614.01100493,2.26175541294274e-05
424000,-166619.967597683,2.64300992829595e-05
426000,-166622.986579615,2.55392940739539e-05
428000,-166628.603172837,2.52756201577791e-05
430000,-166626.320079229,2.01671903138257e-05
432000,-166621.411037974,2.38722129369647e-05
434000,-166633.354158555,2.10960435041644e-05
436000,-166616.244493572,2.34953525416137e-05
438000,-166618.252371325,2.35769666772254e-05
440000,-166614.838860817,2.43242114452452e-05
442000,-166610.329639596,2.02604208053726e-05
444000,-166626.612936634,1.91344135070815e-05
446000,-166622.761770181,1.96551311372854e-05
448000,-166617.938466164,2.03467242610559e-05
450000,-166615.658083542,1.71424416732317e-05
452000,-166629.95777266,1.99508525930979e-05
454000,-166623.272546875,2.00591312505977e-05
456000,-166621.406592771,1.35048978444433e-05
458000,-166608.338546392,1.64946618922197e-05
460000,-166614.557336638,1.54288443756574e-05
462000,-166607.59318283,1.6169933985814e-05
464000,-166608.055594,1.55375358150011e-05
466000,-166622.835138819,1.55417269528222e-05
468000,-166625.877624406,1.51628659653835e-05
470000,-166612.83855978,1.52216674723915e-05
472000,-166614.217091413,1.3920944808464e-05
474000,-166615.241373075,1.33810007934723e-05
476000,-166616.099437285,1.25089677787332e-05
478000,-166613.088046776,1.54479196085721e-05
480000,-166617.642044493,1.85511705654609e-05
482000,-166611.84122576,1.66405374619711e-05
484000,-166612.936569343,1.4481994944804e-05
486000,-166614.724496637,1.02541810658043e-05
488000,-166618.376122093,1.37668266455388e-05
490000,-166605.61003498,1.31147335577974e-05
492000,-166614.941788701,1.63721848660144e-05
494000,-166621.605964346,1.39387679652299e-05
496000,-166625.886040881,1.58274210543833e-05
498000,-166622.32195822,1.26866686606791e-05
5e+05,-166616.267679681,1.46048153753424e-05
502000,-166622.809802744,1.45819246946434e-05
