"state","likelihood","ucld.mean"
0,-1143961.6688667,1
5000,-856940.288392238,0.00995835275673005
10000,-788541.188319553,0.0136620737748103
15000,-742227.571788445,0.0125481090310228
20000,-718261.272284112,0.0130778154018538
25000,-708712.260134906,0.0134223346416038
30000,-695905.990683152,0.0145379632546234
35000,-678413.627365669,0.0157553407102929
40000,-672249.584551565,0.0170506015024403
45000,-670447.473028214,0.0176999938030638
50000,-668830.649867224,0.0173484968429444
55000,-668324.043370667,0.0169326587304044
60000,-667662.340888725,0.0181433991221451
65000,-667122.60954719,0.0182123841820213
70000,-657297.363417509,0.0176040622250946
75000,-646616.109474317,0.0179865802731756
80000,-641341.297481521,0.0166207736662407
85000,-635072.803076085,0.016595067617782
90000,-632634.296992993,0.0170081231618153
95000,-631892.05808516,0.0168179992942156
1e+05,-630252.590873974,0.0168979348349811
105000,-629836.792885492,0.0169691728824757
110000,-625232.968556259,0.0174716495274076
115000,-623716.725389367,0.0176606440172491
120000,-622543.154837,0.0174248029878557
125000,-622107.586500638,0.0173829262576401
130000,-621353.332394946,0.0175494311774251
135000,-621205.021302346,0.0172311410729068
140000,-621030.192076185,0.017448001500322
145000,-620995.229137344,0.0173109247456959
150000,-620980.727959779,0.0174141672459841
155000,-620964.831255612,0.0171568362944474
160000,-620948.465669926,0.0169058009689034
165000,-620542.492071807,0.0170969480882272
170000,-620493.061935014,0.0168782758869996
175000,-620460.31103924,0.0172906726361515
180000,-619719.358717422,0.0175182827543294
185000,-619400.6701269,0.0176886682653844
190000,-619382.3126477,0.0176451393834684
195000,-619360.282368869,0.0176672235173755
2e+05,-619343.559457318,0.0177935339245053
205000,-619272.569329187,0.0177759056462025
210000,-618409.112834494,0.0181732339957262
215000,-618359.425318018,0.0181870434830966
220000,-618255.969869879,0.0180913380779609
225000,-611425.568271209,0.0180852456401567
230000,-611228.334860069,0.0180752392858209
235000,-611168.211582581,0.018051757280016
240000,-611158.041318461,0.018462833297465
245000,-611135.064457938,0.0180508500424089
250000,-611122.459336797,0.0182665644961833
255000,-611087.680675435,0.0182667505724951
260000,-611064.944930465,0.0184915981205854
265000,-611062.343151515,0.0185902672374888
270000,-611051.805706617,0.0183380751557569
275000,-611037.882578085,0.0186783917422399
280000,-611014.622660468,0.0186756557244187
285000,-611010.753466667,0.0183915814820768
290000,-611006.394909299,0.0184893232402169
295000,-610964.663234164,0.0185881003472936
3e+05,-610968.30167471,0.0186927610256951
305000,-610968.861351752,0.0189570979210969
310000,-610910.735742453,0.0184511990980388
315000,-610906.280792885,0.0186622866081241
320000,-610920.05524351,0.0185618012268623
325000,-610890.281831217,0.0186017479605873
330000,-610774.817012813,0.0184370033144693
335000,-610500.216589155,0.0184467240200533
340000,-610314.351655274,0.0184758853270966
345000,-610272.336247174,0.0180720035692133
350000,-610250.717324243,0.0184550563899786
355000,-610236.990846504,0.0181082314858322
360000,-610236.494002237,0.0181286114088475
365000,-610228.740729588,0.0180484291139768
370000,-610224.309412959,0.0180981153722594
375000,-610226.850847603,0.0175595012584771
380000,-610234.422193256,0.017606317874025
385000,-608322.064277335,0.0181094089301435
390000,-604968.664622895,0.0175733835560525
395000,-604827.086207649,0.0177951845939199
4e+05,-604759.135400102,0.018107485410034
405000,-604720.704464006,0.0181910304582008
410000,-604722.023416831,0.0180434125792351
415000,-604715.949749748,0.0179169021857284
420000,-604476.330522925,0.0180192160509726
425000,-604309.633472415,0.0182361185024687
430000,-603876.976129511,0.0182503913324625
435000,-603653.571564606,0.0185406936740818
440000,-603604.871279987,0.018174205702491
445000,-603590.127103253,0.0181010947132415
450000,-603052.925331724,0.0184433584019472
455000,-603021.247510056,0.01843670498379
460000,-603026.070271721,0.0186491873587762
465000,-603030.748963821,0.018676521412842
470000,-603024.390656113,0.0183618715247706
475000,-603018.091438264,0.0185372717956184
480000,-602993.263784761,0.0184309524639346
485000,-602976.973391391,0.018558706838912
490000,-602987.519505766,0.0184199220600397
495000,-602982.418108395,0.0183754807785049
5e+05,-602840.688358133,0.0182366349818311
505000,-602737.556768357,0.0182097924712591
510000,-602722.826649111,0.0180061217416693
515000,-602716.371851682,0.0181219322485982
520000,-602652.854457042,0.017871886242489
525000,-602503.66719617,0.0182374126243748
530000,-602484.855421969,0.0181822242223302
535000,-602462.087232351,0.018536458167058
540000,-602446.910317297,0.018753170234899
545000,-602438.847855896,0.0188238775882369
550000,-602430.31073645,0.0188397378742535
555000,-602418.37947702,0.0188012689552297
560000,-602400.635975623,0.0189052341649913
565000,-602404.612200644,0.0186697448172284
570000,-602412.740218472,0.0186215150125726
575000,-602179.962162121,0.0185939694213672
580000,-602097.941591668,0.019515348452829
585000,-602091.359204391,0.0196129772511164
590000,-602071.76091987,0.019660485276368
